epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.3272329964993164,1.1827360540628433,0.10747388487965868,0.11323774473174593,2.84000318877551e-06
2,1.1856097436469535,1.0542837530374527,0.1325753310377898,0.16704923994403387,7.192539404154518e-06
3,1.0710742255175336,0.9679612666368484,0.17452756787895604,0.1842591149747929,1.0751440643221573e-05
4,1.0498103201389313,0.9873535588383675,0.18026372597864887,0.18702060278150615,7.740610194970846e-06
5,1.0370316672028963,1.0060236036777497,0.1859857700286807,0.17341415203167923,7.334895453717199e-06
6,1.0197938140134635,0.9471436500549316,0.20070573606211997,0.22653589742870298,8.149883837463557e-06
7,0.9976710695657671,0.8685070544481277,0.20447729957952898,0.24039409902569447,8.384771319241985e-06
8,0.9541275873317482,0.8519084319472313,0.22130589467636366,0.22896745027577378,7.44522139212828e-06
9,0.9210929261601489,0.8553542912006378,0.2276689436829608,0.25079731098315083,8.192590652332361e-06
10,0.8974513520735391,0.9223106235265732,0.23714454334301874,0.19998438008476677,7.701462281341108e-06
11,0.8680218400792306,0.8393786251544952,0.2531229576303676,0.23561640523053518,8.146324936224493e-06
12,0.8312890207545357,0.8004849374294281,0.2689401182480392,0.2685138777790287,1.0733646137026239e-05
13,0.812621481670356,0.7860075905919075,0.2735300703463263,0.2818897874545083,6.413140032798834e-06
14,0.7966218944291891,0.8071723118424415,0.2773433517259772,0.27287850970926875,7.683667775145771e-06
15,0.7776334704079243,0.7406253665685654,0.28161404491340686,0.294759277875146,7.797552614795919e-06
16,0.7612865302503479,0.7347171127796173,0.2979230428169493,0.2858756612157578,7.281511935131193e-06
17,0.7283904587630159,0.6991903156042099,0.30385835294345603,0.2976481565269382,6.320608600583091e-06
18,0.7163838961664935,0.6838232636451721,0.3048380512120158,0.301872826248276,6.893591700072884e-06
19,0.6847787305064823,0.6794383853673935,0.31234491704495504,0.3267387872617581,6.88647389759475e-06
20,0.6942424448380559,0.7303164035081864,0.3132277650750848,0.31092035901116605,6.971887527332362e-06
21,0.7089111543034915,0.6344298675656319,0.3115438692984803,0.32510804164208534,6.317049699344024e-06
22,0.6431275942125676,0.7495531886816025,0.3357512837307027,0.29193570557082094,6.2387538720845464e-06
23,0.6484254978088119,0.6453533992171288,0.3347083499564081,0.3351210830146555,4.982461734693876e-06
24,0.6529860814906056,0.6928320407867432,0.32963114091509305,0.3169153782741637,7.84381833090379e-06
25,0.620021076213499,0.6298458248376846,0.33781849129500857,0.3249153975259045,6.0465732051749275e-06
26,0.6141048232035607,0.6119175612926483,0.3466363348778253,0.32946354467241545,5.281409438775511e-06
27,0.6088863251187047,0.5842544823884964,0.343459812155095,0.3462396644019571,6.366874316690963e-06
28,0.5942913322530178,0.6236522629857063,0.34529750109004853,0.34306176815046824,6.922062909985422e-06
29,0.5734536697775681,0.5954778552055359,0.3613617395713566,0.37150129637081775,6.740558946793004e-06
30,0.5869372965571302,0.6205934226512909,0.3431884341449334,0.36120318492918313,6.4131400327988325e-06
